epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8571,1.54986,2.63626,1.45611,0.00822,0.98667,0.14168,0.06776,1.37464,2.94626,1.12419,0.00012,0.00012,0.08812
2,105.681,1.27272,1.73032,1.24114,0.00833,1,0.87529,0.49173,1.1671,2.77498,1.09368,0.0002005,0.0002005,0.0752005
3,157.332,1.15645,1.35992,1.21212,0.00833,1,0.89535,0.62122,0.9414,2.77322,1.01769,0.00022952,0.00022952,0.0622295
4,208.082,1.05072,1.10203,1.1369,0.00833,1,0.94745,0.65939,1.00393,2.71658,1.02751,0.00020706,0.00020706,0.0492071
5,257.548,1.11611,1.05179,1.17969,1,0.46789,0.98371,0.70029,1.0472,2.39093,1.00262,0.00013312,0.00013312,0.0361331
