epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0198,1.62493,2.66103,1.53274,0.00778,0.93333,0.05101,0.01672,1.87526,3.30004,1.98874,0.00012,0.00012,0.08812
2,110.248,1.26967,1.55779,1.23308,0.00756,0.90667,0.47149,0.12351,1.91841,3.16929,1.6467,0.0002005,0.0002005,0.0752005
3,165.566,1.18238,1.24395,1.22999,0.00848,1,0.96419,0.47517,1.16041,2.96989,1.14371,0.00022952,0.00022952,0.0622295
4,217.583,1.08483,1.0274,1.14626,0.01467,1,0.98795,0.66829,0.95856,2.52543,1.03999,0.00020706,0.00020706,0.0492071
5,271.277,1.07268,0.94233,1.15818,1,0.66975,0.98842,0.66774,1.07004,1.94479,1.08727,0.00013312,0.00013312,0.0361331
